timestamp,phase,gpu_temp_c,gpu_power_w,gpu_util_pct,cpu_temp_c,nvme_temp_c
1776359243,idle,44,3.68,0,46,40
1776359244,idle,44,3.38,0,46,40
1776359245,idle,44,3.13,0,46,40
1776359246,idle,44,3.14,0,46,40
1776359247,idle,44,3.20,0,45,40
1776359248,idle,44,3.20,0,46,40
1776359249,idle,44,3.17,0,46,40
1776359250,idle,44,3.24,0,46,40
1776359251,idle,43,3.19,0,45,40
1776359253,idle,43,3.16,0,45,40
1776359254,idle,43,3.19,0,45,40
1776359255,idle,43,3.20,0,45,40
1776359256,idle,43,3.13,0,45,40
1776359257,idle,43,3.15,0,45,40
1776359258,idle,43,3.15,0,45,40
1776359259,idle,43,3.11,0,45,40
1776359260,idle,43,3.13,0,45,40
1776359261,idle,43,3.18,0,45,40
1776359263,idle,43,3.18,0,45,40
1776359264,idle,43,3.14,0,45,40
1776359265,idle,43,3.13,0,45,40
1776359266,idle,43,3.10,0,45,40
1776359267,idle,43,3.09,0,45,40
1776359268,idle,43,3.15,0,45,40
1776359269,idle,43,3.16,0,45,40
1776359270,idle,43,3.08,0,45,40
1776359271,idle,43,3.09,0,45,40
1776359273,idle,43,3.09,0,45,40
1776359274,idle,43,3.08,0,45,40
1776359275,idle,43,3.11,0,45,40
1776359276,idle,43,3.16,0,45,40
1776359277,idle,43,3.10,0,45,40
1776359278,idle,43,3.10,0,44,40
1776359279,idle,43,3.09,0,45,40
1776359280,idle,43,3.10,0,45,40
1776359282,idle,43,3.11,0,45,40
1776359283,idle,43,3.13,0,44,40
1776359284,idle,43,3.18,0,44,40
1776359285,idle,43,3.07,0,44,40
1776359286,idle,42,3.08,0,44,40
1776359287,idle,43,3.11,0,44,40
1776359288,idle,42,3.09,0,44,40
1776359289,idle,42,3.11,0,44,40
1776359290,idle,42,3.17,0,44,40
1776359292,idle,42,3.17,0,44,40
1776359293,idle,42,3.10,0,44,40
1776359294,idle,42,3.05,0,44,40
1776359295,idle,42,3.10,0,44,40
1776359296,idle,42,3.09,0,44,40
1776359297,idle,42,3.18,0,44,40
1776359298,idle,42,3.18,0,44,40
1776359299,idle,42,3.08,0,44,40
1776359300,idle,42,3.13,0,44,40
1776359302,idle,42,3.15,0,44,40
1776359448,prefill_heavy,48,10.57,0,51,42
1776359449,prefill_heavy,48,10.55,0,50,42
1776359450,prefill_heavy,48,10.59,0,50,42
1776359451,prefill_heavy,56,53.88,0,58,42
1776359452,prefill_heavy,56,40.32,77,59,42
1776359453,prefill_heavy,56,40.87,77,60,42
1776359454,prefill_heavy,54,40.32,74,60,42
1776359456,prefill_heavy,57,41.17,78,61,42
1776359457,prefill_heavy,57,42.09,80,62,42
1776359458,prefill_heavy,56,41.51,94,62,42
1776359459,prefill_heavy,58,41.09,77,63,42
1776359460,prefill_heavy,59,41.71,80,63,42
1776359461,prefill_heavy,59,41.35,78,63,42
1776359463,prefill_heavy,57,41.63,80,63,42
1776359464,prefill_heavy,59,41.61,81,64,42
1776359465,prefill_heavy,58,40.47,95,64,42
1776359466,prefill_heavy,60,41.34,80,64,42
1776359467,prefill_heavy,60,43.56,81,65,42
1776359469,prefill_heavy,60,42.02,76,65,42
1776359470,prefill_heavy,59,42.39,76,65,42
1776359471,prefill_heavy,60,41.65,78,65,42
1776359472,prefill_heavy,61,42.88,78,66,42
1776359473,prefill_heavy,59,42.55,95,66,42
1776359474,prefill_heavy,62,42.27,75,66,42
1776359476,prefill_heavy,61,41.46,83,65,42
1776359477,prefill_heavy,62,43.32,77,66,42
1776359478,prefill_heavy,61,41.91,95,67,42
1776359479,prefill_heavy,59,43.19,77,67,42
1776359480,prefill_heavy,62,41.85,95,67,42
1776359481,prefill_heavy,61,42.83,95,67,42
1776359482,prefill_heavy,62,43.42,75,67,42
1776359484,prefill_heavy,63,42.97,77,67,42
1776359485,prefill_heavy,63,42.81,95,68,42
1776359486,prefill_heavy,62,42.15,96,67,42
1776359487,prefill_heavy,63,42.31,78,68,42
1776359488,prefill_heavy,63,43.92,95,68,42
1776359490,prefill_heavy,62,42.85,78,68,42
1776359491,prefill_heavy,63,42.43,79,68,42
1776359492,prefill_heavy,64,42.50,78,69,42
1776359493,prefill_heavy,64,43.27,77,69,42
1776359494,prefill_heavy,62,42.77,78,69,42
1776359495,prefill_heavy,64,42.13,78,69,42
1776359497,prefill_heavy,64,42.57,79,69,42
1776359498,prefill_heavy,64,40.75,77,69,42
1776359499,prefill_heavy,64,43.39,76,69,42
1776359500,prefill_heavy,65,42.91,95,69,42
1776359501,prefill_heavy,62,41.60,78,69,42
1776359502,prefill_heavy,65,42.32,77,69,42
1776359504,prefill_heavy,65,43.15,83,70,42
1776359505,prefill_heavy,65,41.97,78,70,42
1776359506,prefill_heavy,64,42.12,68,70,43
1776359507,prefill_heavy,65,43.46,82,70,43
1776359508,prefill_heavy,66,42.78,85,70,43
1776359509,prefill_heavy,66,42.04,76,71,43
1776359511,prefill_heavy,66,44.01,79,71,43
1776359512,prefill_heavy,66,43.58,92,71,43
1776359513,prefill_heavy,65,43.13,84,71,43
1776359514,prefill_heavy,66,43.01,89,71,43
1776359515,prefill_heavy,66,44.31,78,72,43
1776359517,prefill_heavy,66,44.03,81,72,43
1776359518,prefill_heavy,65,43.65,79,72,43
1776359519,prefill_heavy,65,42.71,80,72,43
1776359520,prefill_heavy,66,43.28,82,72,43
1776359521,prefill_heavy,67,43.23,79,72,43
1776359522,prefill_heavy,67,43.78,79,72,43
1776359524,prefill_heavy,67,43.30,77,72,43
1776359525,prefill_heavy,67,43.84,75,72,43
1776359526,prefill_heavy,68,42.99,95,72,43
1776359527,prefill_heavy,66,43.42,80,72,43
1776359528,prefill_heavy,68,43.27,77,73,44
1776359529,prefill_heavy,68,43.80,78,73,44
1776359531,prefill_heavy,68,43.47,82,72,44
1776359532,prefill_heavy,68,43.82,95,72,44
1776359533,prefill_heavy,68,42.79,95,72,44
1776359534,prefill_heavy,67,42.73,95,72,44
1776359535,prefill_heavy,68,44.24,79,72,44
1776359536,prefill_heavy,66,43.51,78,72,44
1776359538,prefill_heavy,68,43.62,76,73,44
1776359539,prefill_heavy,67,44.84,78,73,44
1776359540,prefill_heavy,69,44.51,95,74,44
1776359541,prefill_heavy,67,43.41,76,74,44
1776359542,prefill_heavy,68,42.85,78,74,44
1776359543,prefill_heavy,68,43.49,95,73,44
1776359545,prefill_heavy,68,43.84,78,73,44
1776359546,prefill_heavy,67,44.21,78,74,44
1776359547,prefill_heavy,66,44.20,77,74,44
1776359548,prefill_heavy,68,43.98,93,74,45
1776359549,prefill_heavy,69,43.54,92,74,45
1776359550,prefill_heavy,69,43.91,79,74,45
1776359552,prefill_heavy,67,43.42,95,74,45
1776359553,prefill_heavy,66,44.14,77,74,45
1776359554,prefill_heavy,67,45.22,74,74,45
1776359555,prefill_heavy,67,43.81,78,74,45
1776359556,prefill_heavy,70,43.88,77,75,45
1776359557,prefill_heavy,70,44.83,75,75,45
1776359559,prefill_heavy,70,44.42,78,75,45
1776359560,prefill_heavy,69,44.07,86,75,45
1776359561,prefill_heavy,68,43.38,77,74,45
1776359562,prefill_heavy,67,43.87,78,75,45
1776359563,prefill_heavy,68,44.16,95,74,45
1776359564,prefill_heavy,70,43.95,77,75,45
1776359566,prefill_heavy,69,44.54,79,75,45
1776359567,prefill_heavy,70,44.51,75,75,45
1776359568,prefill_heavy,70,44.01,87,75,46
1776359569,prefill_heavy,70,44.42,95,75,46
1776359570,prefill_heavy,70,44.43,79,75,46
1776359572,prefill_heavy,70,44.01,76,75,46
1776359573,prefill_heavy,69,43.88,76,75,46
1776359574,prefill_heavy,69,44.80,79,76,46
1776359575,prefill_heavy,69,44.44,94,76,46
1776359576,prefill_heavy,70,43.63,76,76,46
1776359577,prefill_heavy,70,44.07,75,76,46
1776359579,prefill_heavy,71,43.69,75,76,46
1776359580,prefill_heavy,69,44.02,79,76,46
1776359581,prefill_heavy,69,44.23,76,76,46
1776359582,prefill_heavy,71,44.73,80,76,46
1776359583,prefill_heavy,70,43.92,76,76,46
1776359584,prefill_heavy,71,44.90,91,76,46
1776359586,prefill_heavy,69,44.17,78,76,46
1776359587,prefill_heavy,71,45.08,87,76,46
1776359588,prefill_heavy,71,45.26,77,76,46
1776359589,prefill_heavy,69,45.18,75,77,47
1776359590,prefill_heavy,71,44.06,85,76,47
1776359591,prefill_heavy,71,44.78,76,76,47
1776359593,prefill_heavy,70,44.44,90,77,47
1776359594,prefill_heavy,71,44.68,77,77,47
1776359595,prefill_heavy,72,44.77,95,77,47
1776359596,prefill_heavy,71,45.35,79,77,47
1776359597,prefill_heavy,69,45.63,95,77,47
1776359598,prefill_heavy,71,45.10,95,77,47
1776359600,prefill_heavy,72,43.98,77,77,47
1776359601,prefill_heavy,70,45.59,76,77,47
1776359602,prefill_heavy,72,45.03,95,77,47
1776359603,prefill_heavy,72,45.08,79,77,47
1776359604,prefill_heavy,72,44.92,75,77,47
1776359605,prefill_heavy,70,45.19,95,77,47
1776359607,prefill_heavy,72,45.54,95,78,47
1776359608,prefill_heavy,71,44.73,79,77,47
1776359609,prefill_heavy,71,44.59,86,77,47
1776359610,prefill_heavy,70,44.90,79,77,48
1776359611,prefill_heavy,72,46.42,78,78,48
1776359613,prefill_heavy,72,43.13,93,77,48
1776359614,prefill_heavy,72,45.74,75,78,48
1776359615,prefill_heavy,70,44.99,82,77,48
1776359616,prefill_heavy,71,44.22,82,77,48
1776359617,prefill_heavy,72,45.87,91,78,48
1776359618,prefill_heavy,73,44.82,79,78,48
1776359620,prefill_heavy,72,45.54,78,78,48
1776359621,prefill_heavy,71,45.59,81,77,48
1776359622,prefill_heavy,73,45.76,95,78,48
1776359623,prefill_heavy,72,45.85,76,78,48
1776359624,prefill_heavy,71,44.57,95,78,48
1776359625,prefill_heavy,72,43.85,78,78,48
1776359627,prefill_heavy,71,45.47,95,78,48
1776359628,prefill_heavy,71,45.74,88,78,48
1776359629,prefill_heavy,72,45.26,76,78,48
1776359630,prefill_heavy,71,45.52,81,78,48
1776359631,prefill_heavy,73,45.33,79,79,48
1776359632,prefill_heavy,73,45.05,91,78,48
1776359634,prefill_heavy,71,44.47,88,78,49
1776359635,prefill_heavy,72,45.39,79,78,49
1776359636,prefill_heavy,73,46.37,95,79,49
1776359637,prefill_heavy,73,45.39,78,79,49
1776359638,prefill_heavy,72,44.45,78,78,49
1776359640,prefill_heavy,73,45.00,77,78,49
1776359641,prefill_heavy,73,45.13,95,78,49
1776359642,prefill_heavy,73,44.63,77,78,49
1776359643,prefill_heavy,71,44.10,82,79,49
1776359644,prefill_heavy,72,45.31,77,79,49
1776359645,prefill_heavy,74,45.96,78,79,49
1776359647,prefill_heavy,71,44.84,77,79,49
1776359648,prefill_heavy,73,45.14,95,79,49
1776359649,prefill_heavy,73,46.22,79,79,49
1776359650,prefill_heavy,73,44.46,78,79,49
1776359651,prefill_heavy,73,43.81,86,79,49
1776359652,prefill_heavy,72,44.50,77,79,49
1776359654,prefill_heavy,73,45.65,78,79,49
1776359655,prefill_heavy,72,45.30,79,78,49
1776359656,prefill_heavy,73,44.80,91,79,49
1776359657,prefill_heavy,74,44.80,77,79,49
1776359658,prefill_heavy,71,43.99,78,79,50
1776359659,prefill_heavy,74,44.17,95,79,50
1776359661,prefill_heavy,73,45.44,95,79,50
1776359662,prefill_heavy,74,44.09,94,79,50
1776359663,prefill_heavy,73,45.05,76,79,50
1776359664,prefill_heavy,73,45.19,79,79,50
1776359665,prefill_heavy,74,44.90,79,79,50
1776359667,prefill_heavy,72,44.85,95,79,50
1776359668,prefill_heavy,72,46.18,78,79,50
1776359669,prefill_heavy,74,45.00,94,79,50
1776359670,prefill_heavy,72,45.20,76,79,50
1776359671,prefill_heavy,72,44.97,80,80,50
1776359672,prefill_heavy,74,46.53,78,80,50
1776359674,prefill_heavy,74,45.34,78,79,50
1776359675,prefill_heavy,74,45.51,93,80,50
1776359676,prefill_heavy,74,46.60,79,80,50
1776359677,prefill_heavy,74,44.21,95,80,50
1776359678,prefill_heavy,74,45.00,77,80,50
1776359679,prefill_heavy,72,45.51,88,79,50
1776359681,prefill_heavy,74,45.88,78,79,50
1776359682,prefill_heavy,74,45.29,95,79,50
1776359683,prefill_heavy,74,46.14,79,80,50
1776359684,prefill_heavy,74,46.03,95,79,50
1776359685,prefill_heavy,74,44.68,77,79,50
1776359687,prefill_heavy,73,44.50,95,79,50
1776359688,prefill_heavy,74,45.11,78,79,50
1776359689,prefill_heavy,72,45.53,80,79,51
1776359690,prefill_heavy,72,45.78,89,79,51
1776359691,prefill_heavy,73,46.35,77,79,51
1776359692,prefill_heavy,70,44.35,86,79,51
1776359694,prefill_heavy,73,44.29,95,79,51
1776359695,prefill_heavy,73,44.81,77,79,51
1776359696,prefill_heavy,72,43.13,95,78,51
1776359697,prefill_heavy,72,44.02,95,78,51
1776359698,prefill_heavy,73,45.23,76,78,51
1776359699,prefill_heavy,71,45.15,77,78,51
1776359701,prefill_heavy,72,43.97,88,78,51
1776359702,prefill_heavy,73,46.62,77,78,51
1776359703,prefill_heavy,72,44.23,95,78,51
1776359704,prefill_heavy,73,43.81,77,78,51
1776359705,prefill_heavy,73,46.21,95,78,51
1776359706,prefill_heavy,73,45.62,86,78,51
1776359708,prefill_heavy,71,43.85,78,78,51
1776359709,prefill_heavy,72,45.18,77,78,51
1776359710,prefill_heavy,72,44.11,94,77,51
1776359711,prefill_heavy,72,45.30,77,78,51
1776359712,prefill_heavy,71,44.96,86,78,51
1776359713,prefill_heavy,73,43.03,77,77,51
1776359715,prefill_heavy,72,45.62,75,78,51
1776359716,prefill_heavy,72,44.05,78,78,51
1776359717,prefill_heavy,72,44.27,94,77,51
1776359718,prefill_heavy,71,45.38,78,78,51
1776359719,prefill_heavy,71,45.59,95,78,51
1776359720,prefill_heavy,71,43.79,79,77,51
1776359722,prefill_heavy,71,44.09,95,78,51
1776359723,prefill_heavy,72,45.60,77,78,51
1776359724,prefill_heavy,72,45.24,95,78,51
1776359725,prefill_heavy,72,45.74,78,78,51
1776359726,prefill_heavy,70,44.74,79,78,51
1776359727,prefill_heavy,71,45.86,95,77,51
1776359729,prefill_heavy,71,43.17,77,77,51
1776359730,prefill_heavy,70,43.39,75,77,51
1776359731,prefill_heavy,70,44.05,79,77,51
1776359732,prefill_heavy,70,43.19,78,77,51
1776359733,prefill_heavy,70,44.07,79,77,51
1776359734,prefill_heavy,72,43.10,85,77,51
1776359736,prefill_heavy,72,44.79,77,77,51
1776359737,prefill_heavy,69,44.80,79,77,51
1776359738,prefill_heavy,70,45.44,91,77,51
1776359739,prefill_heavy,72,46.01,77,78,51
1776359740,prefill_heavy,70,43.63,86,77,52
1776359741,prefill_heavy,71,45.04,76,77,52
1776359743,prefill_heavy,72,46.44,95,77,52
1776359744,prefill_heavy,72,44.86,78,78,52
1776359745,prefill_heavy,70,43.74,95,77,52
1776359746,prefill_heavy,72,44.69,80,77,52
1776359747,prefill_heavy,72,46.11,81,77,52
1776359749,prefill_heavy,70,45.21,78,78,52
1776359750,prefill_heavy,72,44.41,95,78,52
1776359751,prefill_heavy,70,45.40,79,78,52
1776359752,prefill_heavy,70,45.27,95,78,52
1776359753,prefill_heavy,72,45.75,95,77,52
1776359754,prefill_heavy,71,46.00,78,78,52
1776359756,prefill_heavy,72,46.36,95,77,52
1776359757,prefill_heavy,71,45.57,75,78,52
1776359758,prefill_heavy,69,45.88,95,77,52
1776359759,prefill_heavy,72,45.79,79,77,52
1776359760,prefill_heavy,72,43.66,95,77,52
1776359762,prefill_heavy,72,45.56,77,77,52
1776359763,prefill_heavy,70,44.42,77,77,52
1776359764,prefill_heavy,72,44.34,76,77,52
1776359765,prefill_heavy,71,44.16,91,77,52
1776359766,prefill_heavy,72,43.53,80,77,52
1776359767,prefill_heavy,71,44.25,87,77,52
1776359769,prefill_heavy,71,45.85,80,77,52
1776359770,prefill_heavy,72,44.52,95,77,52
1776359771,prefill_heavy,70,44.54,95,77,52
1776359772,prefill_heavy,71,46.04,95,77,52
1776359773,prefill_heavy,71,45.46,80,77,52
1776359774,prefill_heavy,69,46.09,75,77,52
1776359776,prefill_heavy,71,45.24,89,78,52
1776359777,prefill_heavy,71,44.74,82,77,52
1776359778,prefill_heavy,72,44.05,74,77,52
1776359779,prefill_heavy,70,45.17,76,78,52
1776359780,prefill_heavy,69,45.65,80,77,52
1776359782,prefill_heavy,70,44.48,68,77,52
1776359783,prefill_heavy,72,45.54,90,77,52
1776359784,prefill_heavy,72,45.56,79,77,52
1776359785,prefill_heavy,72,44.83,82,77,52
1776359786,prefill_heavy,70,44.46,89,77,52
1776359787,prefill_heavy,72,43.65,78,76,52
1776359788,prefill_heavy,71,44.05,75,76,52
1776359790,prefill_heavy,69,44.58,77,77,52
1776359791,prefill_heavy,72,46.16,95,77,52
1776359792,prefill_heavy,71,44.50,75,77,52
1776359793,prefill_heavy,71,43.81,95,77,52
1776359794,prefill_heavy,72,45.94,76,77,52
1776359795,prefill_heavy,71,44.53,94,77,52
1776359797,prefill_heavy,72,45.28,76,77,52
1776359798,prefill_heavy,70,44.71,86,77,52
1776359799,prefill_heavy,70,44.37,76,77,52
1776359800,prefill_heavy,72,45.72,88,77,52
1776359801,prefill_heavy,68,43.40,80,77,52
1776359803,prefill_heavy,72,44.60,91,77,52
1776359804,prefill_heavy,71,44.23,77,77,52
1776359805,prefill_heavy,71,43.56,74,76,52
1776359806,prefill_heavy,72,45.39,75,77,52
1776359807,prefill_heavy,71,44.86,89,77,52
1776359808,prefill_heavy,72,45.65,81,77,52
1776359809,prefill_heavy,72,46.20,77,77,52
1776359811,prefill_heavy,70,45.15,78,77,52
1776359812,prefill_heavy,72,45.07,76,77,52
1776359813,prefill_heavy,70,43.66,76,77,52
1776359814,prefill_heavy,72,44.25,84,77,52
1776359815,prefill_heavy,71,44.36,76,77,52
1776359817,prefill_heavy,69,44.05,78,77,52
1776359818,prefill_heavy,72,44.22,89,76,52
1776359819,prefill_heavy,71,44.20,78,76,52
1776359820,prefill_heavy,71,44.40,78,77,52
1776359821,prefill_heavy,69,44.48,95,77,52
1776359822,prefill_heavy,70,43.56,95,77,52
1776359824,prefill_heavy,71,44.97,78,77,52
1776359825,prefill_heavy,72,45.30,90,77,52
1776359826,prefill_heavy,71,43.72,92,77,52
1776359827,prefill_heavy,72,44.51,78,77,52
1776359828,prefill_heavy,70,43.52,78,76,52
1776359829,prefill_heavy,70,45.01,77,76,52
1776359831,prefill_heavy,70,43.95,95,77,52
1776359832,prefill_heavy,72,45.35,95,77,52
1776359833,prefill_heavy,70,44.63,79,77,52
1776359834,prefill_heavy,71,45.30,94,76,52
1776359835,prefill_heavy,70,43.46,79,76,52
1776359837,prefill_heavy,71,43.45,78,77,52
1776359838,prefill_heavy,72,44.65,94,77,52
1776359839,prefill_heavy,71,44.35,77,77,52
1776359840,prefill_heavy,71,44.58,77,77,52
1776359841,prefill_heavy,71,44.32,96,77,52
1776359842,prefill_heavy,70,44.43,80,77,52
1776359844,prefill_heavy,69,44.04,76,76,52
1776359845,prefill_heavy,71,44.72,76,76,52
1776359846,prefill_heavy,71,44.68,79,76,52
1776359847,prefill_heavy,69,43.65,67,76,52
1776359848,prefill_heavy,70,44.52,78,76,52
1776359849,prefill_heavy,72,44.58,93,77,52
1776359851,prefill_heavy,71,44.89,95,77,52
1776359852,prefill_heavy,71,44.44,77,76,52
1776359853,prefill_heavy,69,45.15,95,77,52
1776359854,prefill_heavy,69,44.24,78,76,52
1776359855,prefill_heavy,72,46.02,82,77,52
1776359856,prefill_heavy,70,43.83,88,77,52
1776359858,prefill_heavy,72,44.56,75,77,52
1776359859,prefill_heavy,71,43.98,95,77,52
1776359860,prefill_heavy,71,45.49,76,77,52
1776359861,prefill_heavy,70,43.85,95,77,52
1776359862,prefill_heavy,71,44.54,90,77,52
1776359863,prefill_heavy,72,45.26,95,77,52
1776359865,prefill_heavy,71,45.30,79,77,52
1776359866,prefill_heavy,71,44.85,79,77,52
1776359867,prefill_heavy,71,44.75,75,77,52
1776359868,prefill_heavy,72,44.96,78,77,52
1776359869,prefill_heavy,70,45.06,95,77,52
1776359870,prefill_heavy,71,44.81,94,77,52
1776359872,prefill_heavy,71,44.78,77,76,52
1776359873,prefill_heavy,70,45.07,79,77,52
1776359874,prefill_heavy,71,43.43,79,77,52
1776359875,prefill_heavy,70,44.74,80,77,52
1776359876,prefill_heavy,68,43.87,79,76,52
1776359878,prefill_heavy,71,43.92,78,76,52
1776359879,prefill_heavy,70,44.54,87,76,52
1776359880,prefill_heavy,70,44.53,78,76,52
1776359881,prefill_heavy,72,44.42,81,76,52
1776359882,prefill_heavy,71,43.76,79,76,52
1776359883,prefill_heavy,71,43.34,78,76,52
1776359885,prefill_heavy,71,43.84,95,76,52
1776359886,prefill_heavy,71,44.90,95,76,52
1776359887,prefill_heavy,70,44.01,78,76,52
1776359888,prefill_heavy,71,44.49,80,76,52
1776359889,prefill_heavy,71,43.86,77,77,52
1776359891,prefill_heavy,68,44.49,94,76,52
1776359892,prefill_heavy,70,44.52,95,76,52
1776359893,prefill_heavy,71,42.93,95,76,52
1776359894,prefill_heavy,70,45.37,77,76,52
1776359895,prefill_heavy,71,46.28,84,77,52
1776359896,prefill_heavy,71,44.17,77,76,52
1776359898,prefill_heavy,71,45.47,78,76,52
1776359899,prefill_heavy,72,44.58,83,77,52
1776359900,prefill_heavy,70,43.94,95,77,52
1776359901,prefill_heavy,70,44.82,80,77,52
1776359902,prefill_heavy,71,44.91,81,77,52
1776359903,prefill_heavy,71,44.51,76,76,52
1776359905,prefill_heavy,70,44.74,77,77,52
1776359906,prefill_heavy,72,44.38,82,76,52
1776359907,prefill_heavy,71,45.14,95,77,52
1776359908,prefill_heavy,70,43.91,79,77,52
1776359909,prefill_heavy,71,43.64,86,77,52
1776359910,prefill_heavy,71,45.50,77,77,52
1776359912,prefill_heavy,70,45.74,92,77,52
1776359913,prefill_heavy,70,44.94,79,77,52
1776359914,prefill_heavy,71,44.54,76,77,52
1776359915,prefill_heavy,72,45.20,95,77,52
1776359916,prefill_heavy,70,44.92,77,77,52
1776359918,prefill_heavy,70,43.72,78,77,52
1776359919,prefill_heavy,71,44.06,78,76,52
1776359920,prefill_heavy,71,44.80,78,77,52
1776359921,prefill_heavy,70,42.81,77,76,52
1776359922,prefill_heavy,71,44.16,77,76,52
1776359923,prefill_heavy,72,44.68,95,76,52
1776359925,prefill_heavy,71,44.52,95,76,52
1776359926,prefill_heavy,72,44.31,78,76,52
1776359927,prefill_heavy,69,44.71,77,77,52
1776359928,prefill_heavy,69,44.43,78,77,52
1776359929,prefill_heavy,71,43.79,76,76,52
1776359930,prefill_heavy,71,44.14,74,76,52
1776359932,prefill_heavy,71,44.28,95,77,52
1776359933,prefill_heavy,70,43.99,95,76,52
1776359934,prefill_heavy,71,44.48,77,76,52
1776359935,prefill_heavy,71,45.40,79,77,52
1776359936,prefill_heavy,71,45.53,77,77,52
1776359937,prefill_heavy,71,43.80,77,77,52
1776359939,prefill_heavy,69,45.48,95,77,52
1776359940,prefill_heavy,72,44.56,77,76,52
1776359941,prefill_heavy,70,45.33,80,77,52
1776359942,prefill_heavy,68,45.09,78,76,52
1776359943,prefill_heavy,68,43.30,74,76,52
1776359944,prefill_heavy,70,44.75,77,77,52
1776359946,prefill_heavy,71,42.94,79,76,52
1776359947,prefill_heavy,69,44.31,93,76,52
1776359948,prefill_heavy,71,44.42,72,77,52
1776359949,prefill_heavy,71,45.08,95,77,52
1776359950,prefill_heavy,71,44.15,76,76,52
1776359951,prefill_heavy,70,44.27,95,76,52
1776359953,prefill_heavy,70,45.23,95,77,52
1776359954,prefill_heavy,71,43.63,78,76,52
1776359955,prefill_heavy,71,44.43,78,76,52
1776359956,prefill_heavy,69,44.30,78,76,52
1776359957,prefill_heavy,71,44.54,82,76,52
1776359958,prefill_heavy,69,44.23,77,76,52
1776359960,prefill_heavy,71,43.99,95,76,52
1776359961,prefill_heavy,71,45.17,89,76,52
1776359962,prefill_heavy,69,43.72,76,76,52
1776359963,prefill_heavy,71,45.09,95,77,52
1776359964,prefill_heavy,69,43.95,78,76,52
1776359965,prefill_heavy,70,44.41,95,76,52
1776359967,prefill_heavy,71,44.83,79,76,52
1776359968,prefill_heavy,70,42.62,82,76,52
1776359969,prefill_heavy,68,45.09,79,77,52
1776359970,prefill_heavy,70,44.71,80,77,52
1776359971,prefill_heavy,69,44.14,75,76,52
1776359972,prefill_heavy,71,45.38,87,76,52
1776359974,prefill_heavy,71,43.49,76,76,52
1776359975,prefill_heavy,68,45.01,95,76,52
1776359976,prefill_heavy,71,45.88,89,77,52
1776359977,prefill_heavy,71,44.51,78,77,52
1776359978,prefill_heavy,71,44.64,76,76,52
1776359979,prefill_heavy,70,44.44,95,77,52
1776359981,prefill_heavy,71,45.46,77,76,52
1776359982,prefill_heavy,70,43.89,92,76,52
1776359983,prefill_heavy,70,44.35,78,76,52
1776359984,prefill_heavy,68,44.93,79,76,52
1776359985,prefill_heavy,71,44.36,90,76,52
1776359987,prefill_heavy,71,44.59,77,76,52
1776359988,prefill_heavy,69,44.83,95,77,52
1776359989,prefill_heavy,71,44.21,95,77,52
1776359990,prefill_heavy,70,44.25,78,76,52
1776359991,prefill_heavy,71,45.01,95,76,52
1776359992,prefill_heavy,71,43.92,77,76,52
1776359994,prefill_heavy,69,43.25,95,76,52
1776359995,prefill_heavy,71,43.58,79,76,52
1776359996,prefill_heavy,71,44.51,88,76,52
1776359997,prefill_heavy,68,44.41,77,76,52
1776359998,prefill_heavy,71,45.46,95,76,52
1776359999,prefill_heavy,71,43.89,77,76,52
1776360001,prefill_heavy,69,43.86,95,76,52
1776360002,prefill_heavy,71,44.48,80,76,52
1776360003,prefill_heavy,71,43.62,77,77,52
1776360004,prefill_heavy,70,43.68,77,76,52
1776360005,prefill_heavy,70,45.34,76,76,52
1776360007,prefill_heavy,71,44.75,76,76,52
